iter	Passed	Remaining
0	1	187
1	3	170
2	5	167
3	6	161
4	8	154
5	9	144
6	10	134
7	11	128
8	12	122
9	13	118
10	14	118
11	15	116
12	16	112
13	18	111
14	19	108
15	20	106
16	21	105
17	23	105
18	24	103
19	25	101
20	26	98
21	27	95
22	28	94
23	29	94
24	30	92
25	32	91
26	33	89
27	33	87
28	34	85
29	36	84
30	37	82
31	38	80
32	39	79
33	40	77
34	41	76
35	41	74
36	42	73
37	44	72
38	45	71
39	46	70
40	48	70
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	55	63
47	57	61
48	58	60
49	59	59
50	60	58
51	62	57
52	63	56
53	64	55
54	65	53
55	67	52
56	68	51
57	69	50
58	71	49
59	72	48
60	74	47
61	75	46
62	76	45
63	77	43
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	87	35
71	88	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	105	18
85	107	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	118	8
93	120	7
94	121	6
95	122	5
96	123	3
97	125	2
98	127	1
99	128	0
